ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude,Crime Category,Theft,Sexual Abuse,Assault,Others,Rape,Murder,Drug Abuse,Drinking in Public,Traffic Accidents,Forgery,Vandalism,Weapon Violation,Missing Person,Suspicious Entity,Indecent Exposure,Accident,Animal Abuse,Threats,Harassment,Child Abuse,Trespassing,Stalking,Evidence Tampering,Misconduct,Prostitution,Noise Complaint,Kidnapping,Severity Index
"743,654,459",2000 Jan 28 03:23:00 PM,all other offenses,500 Block FOURTH ST,Athens,GA,30601,33.96884,-83.36523580000001,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,476,286",2000 Jan 28 04:00:00 PM,all other offenses,800 Block RIVERHILL DR,Athens,GA,30606,33.9446593,-83.4128272,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,540,280",2000 Jan 28 05:00:00 PM,burglary,300 Block SPRINGTREE RD,Athens,GA,30605,33.9385453,-83.3287159,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,459,152",2000 Jan 28 05:58:00 PM,all other offenses,1800 Block W BROAD ST,Athens,GA,30606,33.9524159,-83.3991185,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,461,096",2000 Jan 28 06:15:00 PM,all other offenses,200 Block E WHITEHALL RD,Athens,GA,30605,33.909754,-83.357766,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,469,430",2000 Jan 28 08:30:00 PM,all other offenses,300 Block HELICAN SPRINGS RD,Athens,GA,30601,34.0330441,-83.3393772,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,568,776",2000 Jan 28 09:00:00 PM,larceny-theft,1 Block NORTH AV,Athens,GA,30601,33.9662385,-83.3716404,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,672,625",2000 Jan 28 09:00:00 PM,larceny-theft,1300 Block TALLASSEE RD,Athens,GA,30606,33.985308200000006,-83.4672218,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,547,898",2000 Jan 28 09:13:00 PM,larceny-theft,200 Block ROCKSPRINGS HOMES,Athens,GA,30606,33.949174799999994,-83.39220920000001,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,706,467",2000 Jan 28 09:13:00 PM,other assaults,200 Block ROCKSPRINGS HOMES,Athens,GA,30606,33.949174799999994,-83.39220920000001,Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,838,695",2000 Jan 28 09:56:00 PM,damage to property offense,100 Block ELBERT ST,Athens,GA,30601,33.948122,-83.3571799,Vandalism,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,862,576",2000 Jan 28 09:56:00 PM,driving under the influence,100 Block ELBERT ST,Athens,GA,30601,33.948122,-83.3571799,Traffic Accidents,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,864,375",2000 Jan 28 09:56:00 PM,all other offenses,100 Block ELBERT ST,Athens,GA,30601,33.948122,-83.3571799,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,557,009",2000 Jan 28 10:00:00 PM,larceny-theft,100 Block OLD HULL RD,Athens,GA,30601,33.97605720000001,-83.3644927,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,700,795",2000 Jan 28 10:11:00 PM,drunkenness,200 Block MAGNOLIA ST,Athens,GA,30606,33.948063,-83.40425400000001,Drinking in Public,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,879,577",2000 Jan 28 10:15:00 PM,other assaults,100 Block WESTCHESTER LN,Athens,GA,30606,33.9615649,-83.4340942,Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
