ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude
"743,505,126",2000 Feb 13 10:00:00 AM,FORGERY AND COUNTERFEITING,200 Block COLLEGE AV,ATHENS,GA,30601.0,33.9585499,-83.3755551
"743,567,261",2000 Feb 13 12:00:00 PM,OTHER ASSAULTS,100 Block WATER OAK ST,ATHENS,GA,30601.0,33.9668886,-83.3638827
"743,706,502",2000 Feb 13 12:00:00 PM,OTHER ASSAULTS,100 Block WATER OAK ST,ATHENS,GA,30601.0,33.9668886,-83.3638827
"743,923,571",2000 Feb 13 12:58:00 PM,BURGLARY,1000 Block BAXTER ST,ATHENS,GA,30606.0,33.9482623,-83.3918373
"743,629,947",2000 Feb 13 01:40:00 PM,LARCENY-THEFT,1700 Block LEXINGTON RD,ATHENS,GA,30605.0,33.9465207,-83.350155
"743,470,505",2000 Feb 13 02:27:00 PM,ALL OTHER OFFENSES,200 Block PAULDOE ST,ATHENS,GA,30606.0,33.9541521,-83.4118916
"743,567,696",2000 Feb 13 03:19:00 PM,AGGRAVATED ASSAULT,100 Block NICOLE CIR,ATHENS,GA,30606.0,33.9888197,-83.4668638
"743,895,368",2000 Feb 13 03:50:00 PM,DISORDERLY CONDUCT,HENDERSON EXT,ATHENS,GA,30606.0,33.949461,-83.395842
"743,680,359",2000 Feb 13 04:00:00 PM,LARCENY-THEFT,3300 Block LEXINGTON RD,ATHENS,GA,30605.0,33.9392247,-83.3234791
"743,893,974",2000 Feb 13 04:00:00 PM,DAMAGE TO PROPERTY OFFENSE,100 Block CLEVELAND AV,ATHENS,GA,30601.0,33.9683292,-83.3793776
"743,896,731",2000 Feb 13 04:00:00 PM,BURGLARY,100 Block CLEVELAND AV,ATHENS,GA,30601.0,33.9683292,-83.3793776
"743,635,034",2000 Feb 13 04:29:00 PM,DRIVING UNDER THE INFLUENCE,THIRD ST,ATHENS,GA,30601.0,33.9645994,-83.366099
"743,482,694",2000 Feb 13 04:37:00 PM,ALL OTHER OFFENSES,200 Block ROCKSPRINGS HOMES,ATHENS,GA,30606.0,33.9491748,-83.3922092
"743,878,577",2000 Feb 13 06:00:00 PM,ALL OTHER OFFENSES,100 Block E CLAYTON ST,ATHENS,GA,30601.0,33.9581905,-83.3770455
"743,898,553",2000 Feb 13 06:00:00 PM,LARCENY-THEFT,100 Block ALPS RD,ATHENS,GA,30606.0,33.9489162,-83.408391
"743,906,086",2000 Feb 13 07:10:00 PM,LARCENY-THEFT,100 Block NORTH AV,ATHENS,GA,30601.0,33.9664162,-83.3714579
"743,637,804",2000 Feb 13 07:30:00 PM,LARCENY-THEFT,100 Block OLD EPPS BRIDGE RD,ATHENS,GA,30606.0,33.9530505,-83.4067682
"743,676,341",2000 Feb 13 07:30:00 PM,MOTOR VEHICLE THEFT,200 Block REED ST,ATHENS,GA,30605.0,33.9308326,-83.3156584
"743,706,477",2000 Feb 13 09:30:00 PM,OTHER ASSAULTS,100 Block CATALPA DR,ATHENS,GA,30601.0,34.0090162,-83.3473022
"743,819,759",2000 Feb 13 10:30:00 PM,OTHER ASSAULTS,2200 Block WINTERVILLE RD,ATHENS,GA,30605.0,33.9567935,-83.3206476
"743,666,822",2000 Feb 14 12:01:00 AM,LARCENY-THEFT,200 Block LITTLE ST,ATHENS,GA,30605.0,33.9507072,-83.3666317
"743,591,320",2000 Feb 14 12:31:00 AM,LIQUOR LAWS,DANIELSVILLE RD,ATHENS,GA,34.0053971,-83.3493335,2016 Jan 11 06:22:24 PM
"743,658,261",2000 Feb 14 12:31:00 AM,DRIVING UNDER THE INFLUENCE,DANIELSVILLE RD,ATHENS,GA,34.0053971,-83.3493335,2016 Jan 11 06:48:38 PM
"743,663,274",2000 Feb 14 12:31:00 AM,ALL OTHER OFFENSES,DANIELSVILLE RD,ATHENS,GA,34.0053971,-83.3493335,2016 Jan 11 06:50:47 PM
"743,721,599",2000 Feb 14 12:50:00 AM,OTHER ASSAULTS,500 Block ROLLINGRIDGE DR,ATHENS,GA,30607.0,33.9908631,-83.4014307
"743,687,935",2000 Feb 14 03:00:00 AM,MOTOR VEHICLE THEFT,500 Block AUBREY DR,ATHENS,GA,30622.0,33.9458357,-83.5008669
"743,481,861",2000 Feb 14 04:30:00 AM,ALL OTHER OFFENSES,100 Block EPPS BRIDGE RD,ATHENS,GA,30606.0,33.9450672,-83.4280918
"743,687,228",2000 Feb 14 07:00:00 AM,MOTOR VEHICLE THEFT,100 Block PEACH ST,ATHENS,GA,30606.0,33.9524949,-83.4141668
"743,881,301",2000 Feb 14 08:00:00 AM,FORGERY AND COUNTERFEITING,400 Block SPRINGDALE ST,ATHENS,GA,30606.0,33.946831,-83.393332
"743,462,785",2000 Feb 14 12:00:00 PM,ALL OTHER OFFENSES,100 Block CANDY CT,ATHENS,GA,30683.0,33.9484476,-83.2978258
"743,475,799",2000 Feb 14 12:00:00 PM,ALL OTHER OFFENSES,100 Block OLD EPPS BRIDGE RD,ATHENS,GA,30606.0,33.9530505,-83.4067682
"743,489,309",2000 Feb 14 12:00:00 PM,ALL OTHER OFFENSES,100 Block ALPS RD,ATHENS,GA,30606.0,33.9489162,-83.408391
"743,832,689",2000 Feb 14 01:00:00 PM,OTHER ASSAULTS,1300 Block CEDAR SHOALS DR,ATHENS,GA,30605.0,33.9227066,-83.3320961
