Type Of House,Price,Number of rooms,Street,City,State,Zip
House for rent,1450,2,5603 Wickliff St,Pittsburgh,PA,15201
House for rent,850,1,Cedarville St,Pittsburgh,PA,15224
Apartment for rent,1200,2,215 S Aiken Ave APT 1,Pittsburgh,PA,15206
House for rent,3100,5,3228 Parkview Ave,Pittsburgh,PA,15213
Apartment for rent,750,1,2911 Voelkel Ave APT 2,Pittsburgh,PA,15216
House for rent,2100,4,360 Ophelia St,Pittsburgh,PA,15213
House for rent,1700,3,4056 Howley St,Pittsburgh,PA,15224
Apartment for rent,975,1,522 Edmond St # 2,Pittsburgh,PA,15224
Apartment for rent,1450,2,420 Oakland Ave,Pittsburgh,PA,15213
Townhouse for rent,3450,6,3313 Juliet St,Pittsburgh,PA,15213
Apartment for rent,995,1,610 Southern Ave # HOUSE,Mount Washington,PA,15211
House for rent,5400,6,367 S Bouquet St,Pittsburgh,PA,15213
House for rent,1900,3,Chesterfield Rd,Pittsburgh,PA,15213
House for rent,2200,4,3329 Parkview Ave,Pittsburgh,PA,15213
House for rent,1575,3,3201 Joe Hammer Sq,Pittsburgh,PA,15213
Apartment for rent,825,1,125-129 Central Sq # 01,Mount Lebanon,PA,15228
Apartment for rent,1300,2,205 Maple Ter # A,Pittsburgh,PA,15211
House for rent,2750,5,2509 Carey Way,Pittsburgh,PA,15203
Apartment for rent,650,1,3237 Dawson St # 2,Pittsburgh,PA,15213
Apartment for rent,1350,2,S Millvale Ave,Pittsburgh,PA,15213
Apartment for rent,395,1,1309 Compton St,Pittsburgh,PA,15216
Townhouse for rent,3600,6,21 Wellsford St 1 # 2,Pittsbugh,PA,15213
Apartment for rent,1650,3,3944 Liberty Ave # 2,Pittsburgh,PA,15224
Apartment for rent,990,2,2860 Glenmore Ave,Pittsburgh,PA,15216
Apartment for rent,1300,1,133 S 22nd St # 2,Pittsburgh,PA,15203
Apartment for rent,2200,4,213 Amber St # 2,Pittsburgh,PA,15206
House for rent,1600,3,605 Southern Ave,Mount Washington,PA,15211
House for rent,795,2,54 Bigelow St,Pittsburgh,PA,15207
House for rent,1600,3,605 Southern Ave,Mount Washington,PA,15211
House for rent,1075,2,1729 Greenleaf St,Pittsburgh,PA,15211
House for rent,1100,3,1512 Creedmoor Ave,Pittsburgh,PA,15226
Apartment for rent,1500,2,631 S Negley Ave APT 3,Pittsburgh,PA,15232
House for rent,1200,4,834 Blossom Way,Pittsburgh,PA,15212
House for rent,1300,2,300 Craft Ave,Pittsburgh,PA,15213
Apartment for rent,650,1,427 Cedarville St,Pittsburgh,PA,15224
House for rent,2750,5,3325 Ward St,Pittsburgh,PA,15213
Apartment for rent,479,1,48 Southern Ave APT 3,Pittsburgh,PA,15211
House for rent,1650,3,3359 Parkview Ave,Pittsburgh,PA,15213
Apartment for rent,1425,3,3201 Ophelia St,Pittsburgh,PA,15213
House for rent,3125,5,214 Dunseith St,Pittsburgh,PA,15213
