Type Of House,Price,Number of rooms,Street,City,State,Zip
House for rent,1100,3,1049 College Station Rd,Athens,GA,30605
House for rent,2300,4,260 Northside Dr,Athens,GA,30601
House for rent,2300,4,125 Hobson Ave,Athens,GA,30601
Apartment for rent,975,2,250 Little St,Athens,GA,30605
House for rent,1800,3,140 Strickland Ave,Athens,GA,30601
House for rent,2100,3,150A Strickland Ave,Athens,GA,30601
Apartment for rent,1500,3,168 Scandia Cir APT 1,Athens,GA,30605
House for rent,2400,4,154 S Chase St,Athens,GA,30606
House for rent,2175,3,635 N Milledge Ave,Athens,GA,30601
House for rent,3375,5,375 N Church St,Athens,GA,30601
House for rent,1700,3,375 Valleybrook Dr,Athens,GA,30606
House for rent,2380,4,1694 Milledge Avenue Ext,Athens,GA,30605
House for rent,3500,5,840 Mlk Pkwy,Athens,GA,30607
House for rent,4050,6,165 Ruth Dr,Athens,GA,30601
House for rent,800,2,153 Kentucky Cir,Athens,GA,30605
Townhouse for rent,2050,3,310 S Church St,Athens,GA,30605
House for rent,2060,4,120 Jonas Ave,Athens,GA,30601
House for rent,2060,4,130 Jonas Ave,Athens,GA,30601
House for rent,1900,4,999 Baxter St,Athens,GA,30606
House for rent,1635,3,145 Strickland Ave,Athens,GA,30601
House for rent,1820,4,1250 Barnett Shoals Rd,Athens,GA,30605
House for rent,1820,4,1260 Barnett Shoals Rd,Athens,GA,30605
House for rent,1820,4,1270 Barnett Shoals Rd,Athens,GA,30605
House for rent,1820,4,1360 Barnett Shoals Rd,Athens,GA,30605
House for rent,5075,7,285 Springdale St,Athens,GA,30606
House for rent,1820,4,1370 Barnett Shoals Rd,Athens,GA,30605
House for rent,4170,6,137 Childs St,Athens,GA,30601
Apartment for rent,2060,4,147 Dennis Dr,Athens,GA,30605
House for rent,2060,4,149 Dennis Dr,Athens,GA,30605
House for rent,2060,4,155 Dennis Dr,Athens,GA,30605
House for rent,2625,5,110 North Ave,Athens,GA,30601
House for rent,2625,5,169 Mandy Dr,Athens,GA,30601
House for rent,1150,4,235 Big Oak Cir,Athens,GA,30605
House for rent,1850,3,253 Towns Walk Dr,Athens,GA,30606
House for rent,2200,4,2206 S Milledge Ave,Athens,GA,30605
House for rent,3625,5,1367 S Milledge Ave,Athens,GA,30605
House for rent,2145,3,150 E Rutherford St,Athens,GA,30605
House for rent,2820,4,225 Hall St,Athens,GA,30605
House for rent,1100,1,121 Woodrow St,Athens,GA,30605
Apartment for rent,2675,5,136 Strickland Ave,Athens,GA,30601
House for rent,1270,2,229 S Rocksprings St,Athens,GA,30606
House for rent,2260,4,852 Dr Martin Luther King Pkwy,Athens,GA,30601
House for rent,2700,4,290 S Rocksprings St,Athens,GA,30606
House for rent,2725,5,135 5th St,Athens,GA,30601
House for rent,2725,5,125 5th St,Athens,GA,30601
House for rent,2725,5,115 5th St,Athens,GA,30601
House for rent,2725,5,105 5th St,Athens,GA,30601
House for rent,2825,5,225 Ruth Dr,Athens,GA,30601
Townhouse for rent,2825,5,205 Ruth Dr,Athens,GA,30601
House for rent,685,1,105 Hollie St,Athens,GA,30606
House for rent,685,1,117 Hollie St,Athens,GA,30606
House for rent,735,1,123 Hollie St,Athens,GA,30606
House for rent,685,1,111 Hollie St,Athens,GA,30606
Apartment for rent,1600,2,1500 Timothy Rd UNIT 20,Athens,GA,30606
House for rent,1200,3,1112 W Lake Dr,Athens,GA,30606
Townhouse for rent,700,2,437 Lexington Hts,Athens,GA,30605
House for rent,2100,2,W Rutherford St,Athens,GA,30606
House for rent,1250,3,315 Tallassee Rd,Athens,GA,30606
House for rent,1130,2,311 Georgia Dr,Athens,GA,30605
House for rent,2860,4,390 N Chase St,Athens,GA,30606
House for rent,1100,2,328 Atlanta Ave,Athens,GA,30601
House for rent,1635,3,319 Ridge Ave,Athens,GA,30601
House for rent,2140,4,148 Ruth St,Athens,GA,30601
Apartment for rent,765,1,360 Oak St # A,Athens,GA,30601
Townhouse for rent,765,1,350 Oak St # A,Athens,GA,30601
Apartment for rent,765,1,354 Oak St # A,Athens,GA,30601
Townhouse for rent,2260,4,858 Dr Martin Luther King Pkwy,Athens,GA,30601
House for rent,2260,4,864 Dr Martin Luther King Pkwy,Athens,GA,30601
House for rent,2260,4,870 Dr Martin Luther King Pkwy,Athens,GA,30601
House for rent,2260,4,876 Dr Martin Luther King Pkwy,Athens,GA,30601
House for rent,800,2,113 Upland Ct,Athens,GA,30605
Apartment for rent,1500,2,2807 Riverbend Rd,Athens,GA,30605
House for rent,2460,4,1095 W Hancock Ave,Athens,GA,30606
Townhouse for rent,2775,5,1750 Milledge Avenue Ext # A,Athens,GA,30605
House for rent,1740,4,2355 S Lumpkin St,Athens,GA,30606
House for rent,1595,3,1943 S Lumpkin St,Athens,GA,30606
House for rent,1200,3,404 Oconner Blvd,Athens,GA,30607
Apartment for rent,1250,3,2809 Riverbend Rd,Athens,GA,30605
House for rent,2100,4,149 Magnolia Bluff Dr,Athens,GA,30601
House for rent,2100,4,119 Magnolia Bluff Dr,Athens,GA,30601
Townhouse for rent,1130,2,246 Elizabeth St,Athens,GA,30601
Apartment for rent,900,2,190 Eaglewood Way,Athens,GA,30606
House for rent,1100,2,349 Oak St,Athens,GA,30601
House for rent,4075,5,1715 S Milledge Ave,Athens,GA,30605
House for rent,2750,5,120 5th St,Athens,GA,30601
House for rent,3815,7,359 Oak St,Athens,GA,30601
House for rent,2650,5,170 Strickland Ave,Athens,GA,30601
Townhouse for rent,2775,5,2819 Riverbend Rd,Athens,GA,30605
House for rent,1940,4,198 Weymanda Ct,Athens,GA,30606
House for rent,2975,5,1016 Dr Martin Luther King Pkwy,Athens,GA,30601
House for rent,2650,5,204 Strickland Ave,Athens,GA,30601
House for rent,2975,5,1020 Dr Martin Luther King Pkwy,Athens,GA,30601
House for rent,2800,4,740 E Campus Rd,Athens,GA,30605
House for rent,4725,5,641 W Hancock Ave,Athens,GA,30601
House for rent,3780,4,295 N Harris St,Athens,GA,30601
Townhouse for rent,2380,4,1698 Milledge Avenue Ext,Athens,GA,30605
House for rent,2380,4,1690 Milledge Avenue Ext,Athens,GA,30605
House for rent,2380,4,1686 Milledge Avenue Ext,Athens,GA,30605
House for rent,2380,4,1702 Milledge Avenue Ext,Athens,GA,30605
Condo for rent,1000,2,125 S Peter St,Athens,GA,30601
Townhouse for rent,2825,5,166 Strickland Ave,Athens,GA,30601
House for rent,2825,5,168 Strickland Ave,Athens,GA,30601
Apartment for rent,830,2,237 Ruth St # A,Athens,GA,30601
House for rent,1575,3,150 Ruth St,Athens,GA,30601
House for rent,1860,4,165 Arch St,Athens,GA,30601
Apartment for rent,3775,5,185 N Lumpkin St,Athens,GA,30601
Apartment for rent,830,2,235 Ruth St # A,Athens,GA,30601
House for rent,2400,4,140 Riverdale Dr,Athens,GA,30605
Apartment for rent,2180,4,100 Davis St UNIT 9,Athens,GA,30606
House for rent,1150,2,336 Atlanta Ave,Athens,GA,30601
House for rent,1605,3,285 Hillcrest Ave,Athens,GA,30606
Apartment for rent,4025,5,450 E Clayton St,Athens,GA,30601
House for rent,2380,4,353 Oak St,Athens,GA,30601
Apartment for rent,2460,4,441 E Dougherty St APT 4,Athens,GA,30601
House for rent,2060,4,118 Dans Way,Athens,GA,30606
House for rent,1800,3,125 Woodrow St,Athens,GA,30605
House for rent,3375,4,127 Springdale St,Athens,GA,30605
Townhouse for rent,2475,5,215 Mandy Dr,Athens,GA,30601
House for rent,2650,5,225 Mandy Dr,Athens,GA,30601
Condo for rent,2750,5,100 5th St,Athens,GA,30601
Townhouse for rent,2140,4,143 Strickland Ave,Athens,GA,30601
Townhouse for rent,2140,4,139 Strickland Ave,Athens,GA,30601
House for rent,1550,3,605 King Ave,Athens,GA,30606
House for rent,4050,6,590 S Poplar St,Athens,GA,30601
House for rent,4050,6,570 S Poplar St,Athens,GA,30601
House for rent,4050,6,580 S Poplar St,Athens,GA,30601
House for rent,1650,3,331 Beechwood Dr,Athens,GA,30606
House for rent,2000,4,189 Marlin St,Athens,GA,30601
House for rent,1000,1,880 Sunset Dr,Athens,GA,30606
Townhouse for rent,800,2,813 Mitchell Bridge Rd,Athens,GA,30606
House for rent,1450,4,266 Wiltshire Dr,Athens,GA,30605
Apartment for rent,800,2,140 Christy Ct,Athens,GA,30605
House for rent,2250,4,150 Davis Estates Rd,Athens,GA,30606
House for rent,1200,3,115 Greencrest Dr,Athens,GA,30605
House for rent,1150,3,155 Angus Ln,Athens,GA,30607
House for rent,2250,3,1140 W Hancock Ave,Athens,GA,30606
House for rent,2300,3,728 Oconee St,Athens,GA,30605
House for rent,2400,3,687 Pulaski St,Athens,GA,30601
House for rent,2100,3,832 Oconee St,Athens,GA,30605
House for rent,2500,4,545 S Poplar St,Athens,GA,30601
House for rent,2500,4,156 Grove St,Athens,GA,30605
House for rent,2500,4,255 Grove Street Ext,Athens,GA,30605
House for rent,3000,4,1095 Oconee St,Athens,GA,30605
House for rent,2500,5,229 S Poplar St,Athens,GA,30601
Apartment for rent,825,2,E Paces Dr,Athens,GA,30605
House for rent,1200,4,501 Noketchee Creek Rd,Athens,GA,30601
House for rent,1800,4,220 Hunnicutt Dr,Athens,GA,30606
House for rent,6500,6,180 Barber St,Athens,GA,30601
Apartment for rent,1175,1,785 Boulevard 1 # 1,Athens,GA,30601
House for rent,975,3,267 Atlanta Ave,Athens,GA,30601
House for rent,3500,5,130 Pearl St,Athens,GA,30601
House for rent,1550,4,93 Marie Ct,Athens,GA,30607
House for rent,1100,3,145 Evergreen Ter,Winterville,GA,30683
House for rent,2400,3,284 Oakland Ave,Athens,GA,30606
House for rent,2400,3,115 Heatherwood Ln,Athens,GA,30606
House for rent,2850,3,285 Fairlane Dr,Athens,GA,30607
House for rent,950,3,204 Lombardy Cir,Athens,GA,30601
House for rent,900,3,2403 Winterville Rd,Athens,GA,30605
Townhouse for rent,750,2,103 Mario Cir,Athens,GA,30606
Townhouse for rent,750,2,205 Rustwood Dr,Athens,GA,30606
House for rent,1400,3,554 Cherokee Rdg,Athens,GA,30606
Townhouse for rent,800,2,127 Windy Hill Ct,Athens,GA,30606
House for rent,1650,4,University Cir,Athens,GA,30605
House for rent,1900,4,125 Xavier Dr,Athens,GA,30606
Apartment for rent,745,3,Scandia Cir,Athens,GA,30605
House for rent,950,2,216 Springtree Rd,Athens,GA,30605
House for rent,1700,4,385 Hull Rd,Athens,GA,30601
Apartment for rent,710,2,166 Ssr Sir Scott Rd # 166,Athens,GA,30607
House for rent,1800,4,1160 Spartan Ln,Athens,GA,30606
House for rent,1800,3,1061 Rockinwood Dr,Athens,GA,30606
