Type Of House,Price,Street,City,State,Zip
Foreclosure,35000,842 Steuben St,Pittsburgh,PA,15220
House for sale,160000,2016 Termon Ave,Pittsburgh,PA,15212
House for sale,339900,206 Inglewood Dr,Mt Lebanon,PA,15228
House for sale,499000,2136 Beechwood Blvd,Pittsburgh,PA,15217
House for sale,317000,439 Austin Ave,Pittsburgh,PA,15243
Townhouse for sale,525000,100 Denniston St APT 41,Pittsburgh,PA,15206
House for sale,319900,4838 Hatfield St,Pittsburgh,PA,15201
House for sale,149900,223 Bascom Ave,Pittsburgh,PA,15214
House for sale,749000,1533 Valmont St,Pittsburgh,PA,15217
House for sale,269900,236 Sleepy Hollow Rd,Pittsburgh,PA,15216
House for sale,690000,5427 Kentucky Ave,Pittsburgh,PA,15232
Townhouse for sale,459000,138 Bigham St,Pittsburgh,PA,15211
For sale by owner,198000,7228 Butler St,Pittsburgh,PA,15206
House for sale,44900,322 Mathews Ave,Pittsburgh,PA,15210
Condo for sale,475000,5600 Munhall Rd APT 515,Pittsburgh,PA,15217
House for sale,319800,4036 Ludwick St,Pittsburgh,PA,15217
Condo for sale,315000,710 Copeland St APT 12,Shadyside,PA,15232
House for sale,569900,5533 Butler St # B2+,Pittsburgh,PA,15201
House for sale,95000,1548 Rutherford Ave,Pittsburgh,PA,15216
House for sale,350000,1329 N Sheridan Ave,Pittsburgh,PA,15206
House for sale,230000,4239 Upview Ter,Pittsburgh,PA,15201
House for sale,209900,2492 Perrysville Ave,Pittsburgh,PA,15214
House for sale,425000,5340 Pocusset St,Pittsburgh,PA,15217
House for sale,249000,298 Kenmont Ave,Pittsburgh,PA,15216
House for sale,155000,838 Rockwood Ave,Pittsburgh,PA,15234
For sale by owner,186000,1306 Arrowood Dr,Pittsburgh,PA,15243
House for sale,2900000,1100 Shady Ave,Pittsburgh,PA,15232
House for sale,147500,222 Paul St,Mt Washington,PA,15211
House for sale,249000,3539 Simen Ave,Pittsburgh,PA,15212
House for sale,209900,916 Vista St,Pittsburgh,PA,15212
House for sale,999750,609 Amberson Ave,Pittsburgh,PA,15232
House for sale,199900,627 Oxford Blvd,Pittsburgh,PA,15243
House for sale,289900,3821 Cabinet Way,Pittsburgh,PA,15201
House for sale,425000,5453 Wilkins Ave,Pittsburgh,PA,15217
For sale by owner,189000,112 Washington Pl APT 10A,Pittsburgh,PA,15219
House for sale,160000,2406 California Ave,Pittsburgh,PA,15212
House for sale,659000,1410 Pennsylvania Ave,Pittsburgh,PA,15233
House for sale,279900,5425 Claybourne St,Pittsburgh,PA,15232
House for sale,139900,1312 Oakmont St,Pittsburgh,PA,15205
House for sale,279999,165 Erin St,Pittsburgh,PA,15219
House for sale,249900,3916 California Ave,Pittsburgh,PA,15212
Foreclosure,24900,1104 S Side Ave,Pittsburgh,PA,15212
House for sale,799900,304 Merrimac St,Mt Washington,PA,15211
House for sale,615000,119 Conover Rd,Pittsburgh,PA,15208
House for sale,399000,3412 Beechwood Blvd,Pittsburgh,PA,15217
Condo for sale,260000,1500 Cochran Rd,Pittsburgh,PA,15243
House for sale,199900,6627 Jackson St,Pittsburgh,PA,15206
House for sale,299000,5447 Potter St,Pittsburgh,PA,15232
House for sale,109900,1282 Justine St,Pittsburgh,PA,15204
Condo for sale,265000,951 Liberty Ave APT 201,Pittsburgh,PA,15222
House for sale,209900,1149 Mccabe St,Pittsburgh,PA,15201
Make Me MoveÂ®,295000,201 Outlook Dr,Pittsburgh,PA,15228
House for sale,395000,1131 Arrowood Dr,Pittsburgh,PA,15243
House for sale,410000,841 Northridge Dr,Pittsburgh,PA,15216
House for sale,149500,932 Fordham Ave,Pittsburgh,PA,15226
House for sale,229900,4161 Beehner Rd,Pittsburgh,PA,15217
House for sale,119700,3035 Pinehurst Ave,Pittsburgh,PA,15216
House for sale,199900,1571 Woodbine St,Pittsburgh,PA,15201
House for sale,385000,331 Orchard Dr,Mt Lebanon,PA,15228
House for sale,385000,326 42nd St,Pittsburgh,PA,15201
House for sale,10000,1257 Album St,Pittsburgh,PA,15206
House for sale,265000,6112 Alder St APT D1,Pittsburgh,PA,15206
House for sale,129900,2836 Perrysville Ave,Pittsburgh,PA,15214
House for sale,379900,489 Parkview Dr,Pittsburgh,PA,15243
House for sale,589000,6367 Caton St,Pittsburgh,PA,15217
Townhouse for sale,389000,405 E Carson St,Pittsburgh,PA,15203
