Type Of House,Price,Street,City,State,Zip
Apartment for sale,74900,1214 E Lovejoy St,Buffalo,NY,14206
Pre-foreclosure / Auction,99774,115 Montrose Ave,Buffalo,NY,14214
Apartment for sale,137500,478 Normal Ave,Buffalo,NY,14213
Pre-foreclosure,68697,65 Weyand Ave,Buffalo,NY,14210
Apartment for sale,85000,(undisclosed Address),Buffalo,NY,14213
Apartment for sale,58000,31 Earl Pl,Buffalo,NY,14211
For sale by owner,64999,130 Jones St,Buffalo,NY,14206
Apartment for sale,165000,2267 Genesee St,Buffalo,NY,14211
Pre-foreclosure / Auction,211645,15 W Oakwood Pl,Buffalo,NY,14214
House for sale,6250,219 Orlando St,Buffalo,NY,14210
Pre-foreclosure / Auction,56470,287 Davidson Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,84188,94 Spaulding St,Buffalo,NY,14220
Pre-foreclosure / Auction,124758,51 Croy Ave,Cheektowaga,NY,14215
House for sale,69999,185 Landon St,Buffalo,NY,14208
Apartment for sale,495000,2779 Main St,Buffalo,NY,14214
House for sale,59900,27 Warring Ave,Buffalo,NY,14211
Pre-foreclosure,141350,381 Sycamore St,Buffalo,NY,14204
Apartment for sale,250000,15 Grove St,Buffalo,NY,14207
Pre-foreclosure / Auction,116752,211 Saranac Ave,Buffalo,NY,14216
House for sale,65000,609 E Amherst St,Buffalo,NY,14215
Pre-foreclosure,48371,2054 Seneca St,Buffalo,NY,14210
Pre-foreclosure,107290,110 Moreland St,Buffalo,NY,14206
Apartment for sale,238900,979 Lafayette Ave,Buffalo,NY,14209
House for sale,69900,101 Poultney Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,0,149 Longnecker St,Buffalo,NY,14206
Pre-foreclosure,74211,93 Parkview Ave,Buffalo,NY,14210
Pre-foreclosure / Auction,76299,379 Phyllis Ave,Buffalo,NY,14215
Townhouse for sale,229900,751 W Ferry St APT 1CD,Buffalo,NY,14222
House for sale,64900,42 Fennimore Ave,Buffalo,NY,14215
Apartment for sale,288000,4 Collingwood Ave,Buffalo,NY,14215
Pre-foreclosure,37985,44 Fisher St,Buffalo,NY,14211
Pre-foreclosure / Auction,0,41 Sunnyside Pl,Buffalo,NY,14207
Townhouse for sale,374000,33 Gates Cir APT 6F,Buffalo,NY,14209
House for sale,39900,144 Shumway St,Buffalo,NY,14206
House for sale,62900,11 Millicent Ave,Buffalo,NY,14215
Apartment for sale,105000,120 Weaver St,Buffalo,NY,14206
For sale by owner,69900,87 Stevens Ave,Buffalo,NY,14215
Pre-foreclosure,68986,321 Benzinger St,Buffalo,NY,14206
Pre-foreclosure / Auction,0,115 Ullman St,Buffalo,NY,14207
Pre-foreclosure / Auction,57581,118 Crowley Ave,Buffalo,NY,14207
For sale by owner,110000,284 E Delavan Ave FL 1,Buffalo,NY,14208
For sale by owner,77000,142 Olympic Ave,Buffalo,NY,14215
House for sale,39900,31 Schiller St,Buffalo,NY,14206
House for sale,78500,105 Dartmouth Ave,Buffalo,NY,14215
Pre-foreclosure,31395,18 Colorado Ave,Buffalo,NY,14211
For sale by owner,100000,116 Dempster St,Buffalo,NY,14206
Pre-foreclosure / Auction,42931,865 Walden Ave,Buffalo,NY,14211
Townhouse for sale,165000,125 Edward St APT 1H,Buffalo,NY,14201
House for sale,62000,417 Ideal St,Buffalo,NY,14206
Apartment for sale,320000,108 Plymouth Ave,Buffalo,NY,14201
For sale by owner,61000,65 Theodore St,Buffalo,NY,14211
For sale by owner,119999,1520 Broadway St,Buffalo,NY,14212
Pre-foreclosure,45027,333 Davey St,Buffalo,NY,14206
Pre-foreclosure / Auction,0,575 Walden Ave,Buffalo,NY,14211
Pre-foreclosure / Auction,377937,410 Porter Ave,Buffalo,NY,14201
House for sale,49900,152 Erb St,Buffalo,NY,14215
Apartment for sale,57000,76 Chester St,Buffalo,NY,14208
For sale by owner,110000,140 Royal Ave,Buffalo,NY,14207
Pre-foreclosure,98335,1560 Kensington Ave,Buffalo,NY,14215
Foreclosed,0,5 Wood Ave,Buffalo,NY,14211
Apartment for sale,104900,181 Laird Ave,Buffalo,NY,14207
Pre-foreclosure,63162,44 Eckhert St,Buffalo,NY,14207
Pre-foreclosure,115981,226 Clinton St,Buffalo,NY,14204
For sale by owner,8000,921 Fillmore Ave,Buffalo,NY,14211
Pre-foreclosure / Auction,72922,68 Hammerschmidt Ave,Buffalo,NY,14210
Pre-foreclosure,44358,403 Newburgh Ave,Buffalo,NY,14215
Foreclosed,119945,421 Woodside Ave,Buffalo,NY,14220
Pre-foreclosure,0,234 Dewitt St,Buffalo,NY,14213
Pre-foreclosure,70067,234 Schiller St,Buffalo,NY,14206
Pre-foreclosure,118075,156 Indian Church Rd,Buffalo,NY,14210
For sale by owner,51000,34 S Domedion St,Buffalo,NY,14211
Pre-foreclosure,56412,943 Walden Ave,Buffalo,NY,14211
Pre-foreclosure / Auction,70396,103 Weyand Ave,Buffalo,NY,14210
Apartment for sale,69500,46 Ketchum Pl,Buffalo,NY,14213
Pre-foreclosure,111696,46 Ridgewood Rd,Buffalo,NY,14220
Pre-foreclosure / Auction,127690,136 Hinman Ave,Buffalo,NY,14216
Pre-foreclosure,82869,88 Weyand Ave,Buffalo,NY,14210
House for sale,34900,158 Locust St,Buffalo,NY,14204
Pre-foreclosure,0,244 Peach St,Buffalo,NY,14204
Pre-foreclosure,116558,89 W Winspear Ave,Buffalo,NY,14214
Apartment for sale,55000,213 Efner St,Buffalo,NY,14201
Pre-foreclosure,109539,228 Sycamore St,Buffalo,NY,14204
For sale by owner,64900,235 Wyoming Ave,Buffalo,NY,14215
Pre-foreclosure,117800,81 Whitehall Ave,Buffalo,NY,14220
House for sale,51900,198 Waverly St,Buffalo,NY,14208
For sale by owner,75000,78 Central Ave,Buffalo,NY,14206
House for sale,55000,192 May St,Buffalo,NY,14211
Pre-foreclosure,124114,37 Harding Rd,Buffalo,NY,14220
Pre-foreclosure,43150,163 Landon St,Buffalo,NY,14208
Lot / Land for sale,34900,2008 Hertel Ave,Buffalo,NY,14214
Apartment for sale,84900,57 Rapin Pl,Buffalo,NY,14211
Pre-foreclosure,106161,238 Peckham St,Buffalo,NY,14206
Lot / Land for sale,35000,846 William St,Buffalo,NY,14206
Pre-foreclosure,0,1006 Elmwood Ave,Buffalo,NY,14222
For sale by owner,54900,508 Hewitt Ave,Buffalo,NY,14215
House for sale,48000,491 Northland Ave,Buffalo,NY,14211
Pre-foreclosure,135704,63 Lovering Ave,Buffalo,NY,14216
House for sale,44900,48 Gatchell St,Buffalo,NY,14212
Pre-foreclosure,112831,393 Swan St,Buffalo,NY,14204
Pre-foreclosure / Auction,0,399 Gold St,Buffalo,NY,14206
Foreclosed,0,27 Athol St,Buffalo,NY,14220
Lot / Land for sale,34000,178 Vermont St,Buffalo,NY,14213
Pre-foreclosure,56871,19 Proctor Ave,Buffalo,NY,14215
Pre-foreclosure,198526,156 Shoshone St,Buffalo,NY,14214
Pre-foreclosure / Auction,0,182 Hagen St,Buffalo,NY,14215
House for sale,71900,70 Hempstead Ave,Buffalo,NY,14215
Pre-foreclosure,204589,322 Voorhees Ave,Buffalo,NY,14216
Pre-foreclosure / Auction,226545,210 Huntington Ave,Buffalo,NY,14214
Pre-foreclosure,118121,29 Alsace Ave,Buffalo,NY,14220
Pre-foreclosure,51501,401 Winspear Ave,Buffalo,NY,14215
Apartment for sale,129000,610 Ontario St,Buffalo,NY,14207
Pre-foreclosure / Auction,132775,324 Highgate Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,0,2 Woodley Rd,Buffalo,NY,14215
Foreclosed,0,118 Homer Ave,Buffalo,NY,14216
Pre-foreclosure / Auction,210470,326 Bedford Ave,Buffalo,NY,14216
Lot / Land for sale,19900,1542 S Park Ave,Buffalo,NY,14220
Lot / Land for sale,59900,151 W Utica St,Buffalo,NY,14222
House for sale,54900,88 Freund St,Buffalo,NY,14215
Pre-foreclosure,29203,48 Schuele Ave,Buffalo,NY,14215
Apartment for sale,7997,96 Pulaski St,Buffalo,NY,14206
Pre-foreclosure / Auction,0,97 Meriden St,Buffalo,NY,14220
House for sale,49900,59 Elmer Ave,Buffalo,NY,14215
Pre-foreclosure,88694,46 Boyd St,Buffalo,NY,14213
Pre-foreclosure,74648,556 Highgate Ave,Buffalo,NY,14215
Pre-foreclosure,0,67 Crestwood Ave,Buffalo,NY,14216
House for sale,11000,VL Brunswick Rd W,Lancaster,NY,14208
Pre-foreclosure,199151,422 Colvin Ave,Buffalo,NY,14216
Pre-foreclosure,101555,162 Sheffield Ave,Buffalo,NY,14220
Pre-foreclosure,46056,660 Minnesota Ave,Buffalo,NY,14215
Pre-foreclosure,125970,1017 Tifft St,Buffalo,NY,14220
Lot / Land for sale,20000,15 Harding Rd,Buffalo,NY,14220
House for sale,47000,185 Kilhoffer St,Buffalo,NY,14211
For sale by owner,55000,899 Niagara St,Buffalo,NY,14213
Pre-foreclosure / Auction,0,99 Avondale Pl,Buffalo,NY,14210
Pre-foreclosure,113479,185 Culver Rd,Buffalo,NY,14220
Apartment for sale,129000,521 Hewitt Ave,Buffalo,NY,14215
Pre-foreclosure,56715,139 Crowley Ave,Buffalo,NY,14207
Apartment for sale,68000,67 Lang Ave,Buffalo,NY,14215
Apartment for sale,38900,80 Townsend St,Buffalo,NY,14206
Pre-foreclosure,75276,869 West Ave,Buffalo,NY,14213
Pre-foreclosure,149786,75 E Morris Ave,Buffalo,NY,14214
Pre-foreclosure / Auction,56250,136 Peter St,Buffalo,NY,14207
Pre-foreclosure / Auction,0,2525 Delaware Ave,Buffalo,NY,14216
Pre-foreclosure,61322,203 Central Ave,Buffalo,NY,14206
Pre-foreclosure / Auction,0,180 Hazelwood Ave,Buffalo,NY,14215
House for sale,7000,V/l Brunswick Rd W,Lancaster,NY,14208
Pre-foreclosure,45530,323 Wohlers Ave,Buffalo,NY,14208
Pre-foreclosure,0,976 Elmwood Ave,Buffalo,NY,14222
Pre-foreclosure / Auction,92236,118 Sheffield Ave,Buffalo,NY,14220
Lot / Land for sale,24900,218 Northampton St,Buffalo,NY,14208
Pre-foreclosure,73547,25 Dismonda St,Buffalo,NY,14210
Pre-foreclosure,253450,18 Jewett Pkwy,Buffalo,NY,14214
Lot / Land for sale,24900,214 Northampton St,Buffalo,NY,14208
House for sale,69900,227 Roslyn St,Buffalo,NY,14215
Apartment for sale,69000,543 West Ave,Buffalo,NY,14213
Pre-foreclosure / Auction,0,720 Plymouth Ave,Buffalo,NY,14213
Pre-foreclosure,93676,57 Crystal Ave,Buffalo,NY,14220
Pre-foreclosure,41627,538 Stockbridge Ave,Buffalo,NY,14215
Pre-foreclosure,43014,353 Shirley Ave,Buffalo,NY,14215
Pre-foreclosure,112300,30 Olcott Ave,Buffalo,NY,14220
Pre-foreclosure,132359,81 Plymouth Ave,Buffalo,NY,14201
Pre-foreclosure,132740,189 Commonwealth Ave,Buffalo,NY,14216
House for sale,70000,112 Keystone St,Buffalo,NY,14211
Pre-foreclosure / Auction,0,385 Humboldt Pkwy,Buffalo,NY,14208
Pre-foreclosure,119612,381 Woodside Ave,Buffalo,NY,14220
Apartment for sale,79900,219 French St,Buffalo,NY,14211
Pre-foreclosure,64160,664 Hopkins St,Buffalo,NY,14220
Pre-foreclosure,0,817 Abbott Rd,Buffalo,NY,14220
Pre-foreclosure / Auction,100600,78 Moreland St,Buffalo,NY,14206
Pre-foreclosure / Auction,116163,93 Blaine Ave,Buffalo,NY,14208
Pre-foreclosure / Auction,94918,41 Evanston Pl,Buffalo,NY,14220
Pre-foreclosure / Auction,124096,92 Croy Ave,Buffalo,NY,14215
Lot / Land for sale,15000,VL Garland Ave,Cheektowaga,NY,14206
Lot / Land for sale,35000,1414 Broadway St,Buffalo,NY,14212
Pre-foreclosure,112947,129 Mariemont Ave,Buffalo,NY,14220
Lot / Land for sale,50000,1342 Clinton St,Buffalo,NY,14206
Townhouse for sale,249000,1088 Delaware Ave APT 11C,Buffalo,NY,14209
For sale by owner,95000,3267 Bailey Ave,Buffalo,NY,14215
House for sale,49900,34 Rogers Ave,Buffalo,NY,14211
Foreclosed,103829,165 Stevenson St,Buffalo,NY,14210
Pre-foreclosure,145131,77 Mercer Ave,Buffalo,NY,14214
House for sale,69500,70 Hazelwood Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,65060,309 Stockbridge Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,0,959 Broadway St,Buffalo,NY,14212
Apartment for sale,49999,1399 Broadway St,Buffalo,NY,14212
Pre-foreclosure,39076,274 Northland Ave,Buffalo,NY,14208
Lot / Land for sale,10000,1026 E Ferry St,Buffalo,NY,14211
Pre-foreclosure,70975,563 Highgate Ave,Buffalo,NY,14215
Pre-foreclosure,116150,62 Duluth Ave,Buffalo,NY,14216
Pre-foreclosure,77645,314 Fenton St,Buffalo,NY,14206
For sale by owner,74900,99 Sattler Ave,Buffalo,NY,14211
Lot / Land for sale,5000,305 Northumberland Ave,Buffalo,NY,14215
Apartment for sale,140000,222 Gibson St,Buffalo,NY,14212
Pre-foreclosure / Auction,28582,210 Roslyn St,Buffalo,NY,14215
Pre-foreclosure,58138,31 Erskine Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,0,157 Fenton St,Buffalo,NY,14206
Lot / Land for sale,7000,511 Sherman St,Buffalo,NY,14211
Pre-foreclosure,0,336 Potomac Ave,Buffalo,NY,14213
Pre-foreclosure / Auction,79646,176 Geary St,Buffalo,NY,14210
Pre-foreclosure,88441,634 E Eagle St,Buffalo,NY,14210
Apartment for sale,69900,46 Hazelwood Ave,Buffalo,NY,14215
Pre-foreclosure,39703,743 Lasalle Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,0,199 Myrtle Ave,Buffalo,NY,14204
Pre-foreclosure / Auction,50299,113 Forest Ave,Buffalo,NY,14213
House for sale,135000,5318 Fayette Ave,Madison,WI,53713
House for sale,2150000,9906 Fallen Leaf Dr,Middleton,WI,53562
House for sale,250000,5421 Eastland Way,Madison,WI,53716
House for sale,425000,1427 Rutledge St,Madison,WI,53703
House for sale,298500,3818 Ice Age Dr,Madison,WI,53719
House for sale,299900,402 S Segoe Rd,Madison,WI,53711
House for sale,242500,107 E Lakeview Ave,Madison,WI,53716
House for sale,225000,4005 Rockwell Dr,Madison,WI,53714
House for sale,195000,6 Falmouth Ct,Madison,WI,53719
House for sale,460000,7701 Welton Dr,Madison,WI,53719
For sale by owner,315000,601 N Rosa Rd,Madison,WI,53705
Condo for sale,224900,3130 Dorchester Way APT 5,Madison,WI,53719
House for sale,280000,7125 E Valley Ridge Dr,Madison,WI,53719
House for sale,194900,514 N 8th St,Madison,WI,53704
House for sale,264900,6814 Stratford Dr,Madison,WI,53719
Condo for sale,365000,109 Glenthistle Rd,Madison,WI,53705
House for sale,499900,211 W Sunset Ct,Madison,WI,53705
For sale by owner,294900,1317 E Wilson St,Madison,WI,53703
House for sale,329900,6131 Old Middleton Rd,Madison,WI,53705
For sale by owner,725000,4734 Lafayette Dr,Madison,WI,53705
House for sale,200000,4100 David Rd,Madison,WI,53704
House for sale,169500,3013 Churchill Dr,Madison,WI,53713
House for sale,279900,6137 Jeffers Dr,Madison,WI,53719
House for sale,389900,634 Emerson St,Madison,WI,53715
House for sale,1200000,5050 Lake Mendota Dr,Madison,WI,53705
House for sale,995000,6117 S Highlands Ave,Madison,WI,53705
House for sale,259900,9 Dolores Ct,Madison,WI,53716
House for sale,339900,722 Spruce St,Madison,WI,53715
House for sale,314900,1018 Mohican Pass,Madison,WI,53711
House for sale,289900,3430 Kingman Ln,Madison,WI,53719
House for sale,249900,418 Russell Walk,Madison,WI,53703
House for sale,249900,201 Merry St,Madison,WI,53704
House for sale,374900,1815 Capital Ave,Madison,WI,53705
House for sale,269900,6614 Fieldwood Rd,Madison,WI,53718
House for sale,299900,222 Breezy Grass Way,Madison,WI,53718
House for sale,334900,3621 Mammoth Trl,Madison,WI,53719
House for sale,274900,3945 Mammoth Trl,Madison,WI,53719
House for sale,220000,145 Belmont Rd,Madison,WI,53714
House for sale,885000,1919 Jefferson St,Madison,WI,53711
Condo for sale,385000,3100 Lake Mendota Dr APT 801,Madison,WI,53705
House for sale,575000,1721 Shady Point Dr,Verona,WI,53593
House for sale,545000,7122 Longmeadow Rd,Madison,WI,53717
House for sale,499900,2344 W Lawn Ave,Madison,WI,53711
House for sale,250000,605 Charles Ln,Madison,WI,53711
House for sale,499900,23 S Allen St,Madison,WI,53726
For sale by owner,250000,402 Merrill Crest Dr,Madison,WI,53705
House for sale,400000,4505 Red Barn Run,Mc Farland,WI,53558
For sale by owner,174988,141 Metro Ter UNIT 307,Madison,WI,53718
House for sale,394900,168 Proudfit St,Madison,WI,53715
Condo for sale,125000,6 Maple Wood Ln UNIT 10,Madison,WI,53704
Condo for sale,150000,1811 Lake Point Dr,Madison,WI,53713
House for sale,285000,522 Aztalan Dr,Madison,WI,53718
For sale by owner,409500,410 Russell St,Madison,WI,53704
House for sale,725000,1908 Arlington Pl,Madison,WI,53726
House for sale,269000,14 Dolores Ct,Madison,WI,53716
House for sale,399900,3522 Lucia Crst,Madison,WI,53705
House for sale,379900,6338 Masthead Dr,Madison,WI,53705
Condo for sale,159900,2897 Holborn Cir,Madison,WI,53718
Condo for sale,685000,137 E Wilson St UNIT 1013,Madison,WI,53703
House for sale,484999,2640 Chamberlain Ave,Madison,WI,53705
House for sale,399000,2013 Irwin Pl,Madison,WI,53713
House for sale,1500000,6210 S Highlands Ave,Madison,WI,53705
House for sale,309000,46 S Midvale Blvd,Madison,WI,53705
House for sale,1750000,1303 Edgehill Dr,Madison,WI,53705
Condo for sale,1400000,125 N Hamilton St UNIT 1402,Madison,WI,53703
House for sale,199900,905 N Fair Oaks Ave,Madison,WI,53714
House for sale,649000,2530 Marshall Pkwy,Madison,WI,53713
House for sale,159900,3302 Chicago Ave,Madison,WI,53714
For sale by owner,729000,430 Hillington Way,Madison,WI,53726
House for sale,485000,4910 Odana Rd,Madison,WI,53711
House for sale,575000,3302 Leyton Ln,Madison,WI,53713
Condo for sale,185000,111 N Hamilton St APT 302,Madison,WI,53703
House for sale,1425000,3402 Monroe St,Madison,WI,53711
House for sale,499000,824 Spaight St,Madison,WI,53703
House for sale,199900,4116 Bruns Ave,Madison,WI,53714
House for sale,194900,525 Wheeler Rd,Madison,WI,53704
For sale by owner,949000,6204 S Highlands Ave,Madison,WI,53705
Apartment for sale,298000,3574 3576 Ridgeway Ave,Madison,WI,53704
Condo for sale,187500,1053 Melvin Ct,Madison,WI,53704
House for sale,445000,813 Ondossagon Way,Madison,WI,53719
House for sale,279900,319 N Few St,Madison,WI,53703
House for sale,244900,13 Green Ridge Ct,Madison,WI,53704
Condo for sale,260000,28 Waterford Cir,Madison,WI,53719
For sale by owner,539000,857 S Shore Dr,Madison,WI,53715
House for sale,425000,1625 Adams St,Madison,WI,53711
House for sale,225000,6313 Jacobs Way,Madison,WI,53711
House for sale,250000,21 Geronimo Cir,Madison,WI,53713
House for sale,450000,512 W Shore Dr,Madison,WI,53715
House for sale,304900,9317 Golden Hue Blvd,Verona,WI,53593
House for sale,559000,2301 Chamberlain Ave,Madison,WI,53726
House for sale,1499000,4158 Veith Ave,Madison,WI,53704
House for sale,229900,2613 Fell Rd,Madison,WI,53713
For sale by owner,424000,2721 Center Ave,Madison,WI,53704
House for sale,245000,4806 Retana Dr,Madison,WI,53714
House for sale,699900,2 Shade Tree Ct,Madison,WI,53717
House for sale,319900,2214 Monroe St,Madison,WI,53711
House for sale,389000,4911 Hammersley Rd,Madison,WI,53711
House for sale,250000,2945 Hermina St,Madison,WI,53704
Condo for sale,259900,9380 Old Sauk Rd,Middleton,WI,53562
House for sale,317000,1101 Rowell St,Madison,WI,53715
House for sale,875000,3865 Nakoma Rd,Madison,WI,53711
House for sale,133900,3220 Burke Ave,Madison,WI,53714
House for sale,235000,4727 Spaanem Ave,Madison,WI,53716
Condo for sale,170000,35 S Broom St,Madison,WI,53703
House for sale,299900,102 N Baldwin St,Madison,WI,53703
Condo for sale,315000,211 Glen Hollow Rd,Madison,WI,53705
Condo for sale,104900,6302 Mineral Point Rd UNIT 114,Madison,WI,53705
For sale by owner,595000,9501 Blackhawk Rd,Middleton,WI,53562
Condo for sale,250000,13 Nantucket Ct,Madison,WI,53719
House for sale,199900,1822 Vahlen St,Madison,WI,53704
House for sale,215000,614 Cedar St,Madison,WI,53715
House for sale,750000,1709 Hoyt St,Madison,WI,53726
House for sale,369900,1721 Helena St,Madison,WI,53704
House for sale,198900,3002 Hermina St,Madison,WI,53714
Apartment for sale,549900,1232 Rutledge St,Madison,WI,53703
House for sale,264000,1113 Elizabeth St,Madison,WI,53703
House for sale,499000,1107 Van Buren St,Madison,WI,53711
House for sale,335000,6317 Dylyn Dr,Madison,WI,53719
House for sale,269900,5105 Bluestem Way,Madison,WI,53704
House for sale,285000,2014 Sheridan Dr,Madison,WI,53704
House for sale,249900,3912 Dempsey Rd,Madison,WI,53716
House for sale,145000,917 Dane St,Madison,WI,53713
House for sale,1450000,1 Thorstrand Rd,Madison,WI,53705
House for sale,225000,1429 Hooker Ave,Madison,WI,53704
House for sale,1790000,9826 Sandhill Rd,Middleton,WI,53562
For sale by owner,699000,1620 Yahara Pl,Madison,WI,53704
House for sale,499000,2110 Fox Ave,Madison,WI,53711
Condo for sale,475000,615 W Main St APT 410,Madison,WI,53703
House for sale,499900,1438 Morrison St,Madison,WI,53703
House for sale,229900,2301 Waltham Rd,Madison,WI,53711
House for sale,489900,9701 Shadow Wood Dr,Verona,WI,53593
House for sale,2125000,30 Turnwood Cir,Verona,WI,53593
House for sale,225000,2306 Catalpa Rd,Madison,WI,53713
House for sale,489000,7409 Welton Dr,Madison,WI,53719
For sale by owner,330000,1014 Emerald St,Madison,WI,53715
House for sale,549900,9709 Shadow Wood Dr,Verona,WI,53593
House for sale,339900,3725 Gregory St,Madison,WI,53711
House for sale,297500,1640 Capital Ave,Madison,WI,53705
House for sale,289900,2602 Wentworth Dr,Madison,WI,53719
House for sale,350000,2742 Kendall Ave,Madison,WI,53705
Condo for sale,179900,434 Cantwell Ct # 4D,Madison,WI,53703
House for sale,245900,111 Milky Way,Madison,WI,53718
Condo for sale,135000,28 Lakewood Gardens Ln,Madison,WI,53704
House for sale,310000,1133 Erin St,Madison,WI,53715
Apartment for sale,199900,1905 Loftsgordon Ave,Madison,WI,53704
House for sale,319900,1117 Delaplaine Ct,Madison,WI,53715
House for sale,275000,4672 Star Spangled Trl,Madison,WI,53718
House for sale,274900,5306 Kingsbridge Rd,Madison,WI,53714
House for sale,725000,1716 Hoyt St,Madison,WI,53726
House for sale,198000,2720 Milwaukee St,Madison,WI,53704
House for sale,294900,421 Berwyn Dr,Madison,WI,53711
House for sale,339900,7605 Crawling Stone Rd,Madison,WI,53719
House for sale,209900,5119 Horned Owl Dr,Madison,WI,53718
House for sale,589900,1331 E Dayton St,Madison,WI,53703
House for sale,339000,4134 Nakoma Rd,Madison,WI,53711
House for sale,309900,417 S Segoe Rd,Madison,WI,53711
House for sale,275000,5225 Greenbriar Ln,Madison,WI,53714
House for sale,234900,109 N 2nd St,Madison,WI,53704
Condo for sale,169000,318 Palomino Ln,Madison,WI,53705
House for sale,515000,4117 Nakoma Rd,Madison,WI,53711
House for sale,235000,6929 Carnwood Rd,Madison,WI,53719
House for sale,330000,407 S Orchard St,Madison,WI,53715
House for sale,1250000,2120 Waunona Way,Madison,WI,53713
House for sale,399900,6405 Appalachian Way,Madison,WI,53705
For sale by owner,346000,2725 Stevens St,Madison,WI,53705
House for sale,299900,9902 Soaring Sky Run,Verona,WI,53593
House for sale,439000,3918 Hillcrest Dr,Madison,WI,53705
House for sale,395000,2516 Commonwealth Ave,Madison,WI,53711
House for sale,179900,3913 Paus St,Madison,WI,53714
House for sale,150000,157 Judd St,Madison,WI,53714
House for sale,219900,3736 Sargent St,Madison,WI,53714
Condo for sale,250000,7333 Tree Ln,Madison,WI,53717
House for sale,795000,2352 W Lawn Ave,Madison,WI,53711
House for sale,434900,18 W Newhaven Cir,Madison,WI,53717
House for sale,734900,5227 Harbor Ct,Madison,WI,53705
House for sale,1899900,29 Turnwood Cir,Verona,WI,53593
House for sale,329900,1408 Jenifer St,Madison,WI,53703
House for sale,895000,3901 Priscilla Ln,Madison,WI,53705
House for sale,415000,7409 Longmeadow Rd,Madison,WI,53717
House for sale,449900,609 Rogers St,Madison,WI,53703
Condo for sale,950000,333 W Mifflin St UNIT 1251,Madison,WI,53703
House for sale,474900,8510 Prairie Hill Rd,Madison,WI,53719
House for sale,389900,207 S Allen St,Madison,WI,53726
House for sale,399900,3116 Monroe St,Madison,WI,53711
House for sale,289900,2902 Fairview St,Madison,WI,53704
House for sale,170000,1806 Danbury St,Madison,WI,53711
House for sale,239900,7 Katherine Ct,Madison,WI,53718
Condo for sale,178000,1028 Erin St APT 3,Madison,WI,53715
House for sale,244900,3737 Johns St,Madison,WI,53714
House for sale,159900,2666 E Johnson St,Madison,WI,53704
House for sale,489900,7626 Welton Dr,Madison,WI,53719
House for sale,329900,3143 Lindbergh St,Madison,WI,53704
House for sale,239900,726 Northport Dr,Madison,WI,53704
House for sale,259900,1214 S Whitney Way,Madison,WI,53711
Condo for sale,250000,1140 E Dayton St UNIT 105,Madison,WI,53703
House for sale,625000,729 Huron Hl,Madison,WI,53711
House for sale,264900,512 Algoma St,Madison,WI,53704
Condo for sale,118900,7417 Old Sauk Rd UNIT 102,Madison,WI,53717
House for sale,220000,134 Talmadge St,Madison,WI,53704
Condo for sale,150000,6617 Raymond Rd,Madison,WI,53711
House for sale,365000,14 Wood Cir,Madison,WI,53705
Pre-foreclosure / Auction,115711,602 Pinchot Ave,Madison,WI,53716
Condo for sale,409900,30 E Johnson St,Madison,WI,53703
House for sale,345000,8422 Red Granite Rd,Madison,WI,53719
Condo for sale,129900,201 Ski Ct APT F,Madison,WI,53713
House for sale,269900,7035 Reston Heights Dr,Madison,WI,53718
Condo for sale,365000,1835 Winnebago St UNIT 106,Madison,WI,53704
House for sale,440000,1915 W Lawn Ave,Madison,WI,53711
House for sale,254900,2413 Waunona Way,Madison,WI,53713
House for sale,300000,6638 Broad Creek Blvd,Madison,WI,53718
House for sale,355000,1915 Regent St,Madison,WI,53726
House for sale,234900,720 N Fair Oaks Ave,Madison,WI,53714
Condo for sale,364900,15 S Broom St UNIT 204,Madison,WI,53703
Condo for sale,185000,2035 University Ave,Madison,WI,53726
House for sale,299000,205 Ohio Ave,Madison,WI,53704
Condo for sale,349900,808 Williamson St UNIT 205,Madison,WI,53703
House for sale,409900,4825 Woodburn Dr,Madison,WI,53711
Lot / Land for sale,165000,54 Merlham Dr,Madison,WI,53705
House for sale,375000,318 Evergreen Ave,Madison,WI,53704
House for sale,234500,5409 Dover Pl,Madison,WI,53716
House for sale,269900,1040 Williamson St,Madison,WI,53703
House for sale,379900,6102 Cottontail Trl,Madison,WI,53718
House for sale,240000,190 S Fair Oaks Ave,Madison,WI,53704
Condo for sale,359900,594 N Midvale Blvd,Madison,WI,53705
House for sale,159900,616 Morningside Ave,Madison,WI,53716
House for sale,259900,3302 Portage Rd,Madison,WI,53704
House for sale,329900,5002 Dorsett Dr,Madison,WI,53711
House for sale,224900,5214 Ridge Oak Dr,Madison,WI,53704
House for sale,165000,901 Dane St,Madison,WI,53713
Condo for sale,425000,308 Glenthistle Ct,Madison,WI,53705
House for sale,239900,4414 Whitetail Ln,Madison,WI,53704
House for sale,249900,21 Colorado Ct,Madison,WI,53704
House for sale,479900,753 Miami Pass,Madison,WI,53711
House for sale,284900,570 S Segoe Rd,Madison,WI,53711
House for sale,750000,6113 S Highlands Ave,Madison,WI,53705
House for sale,344900,4127 S Sunset Ct,Madison,WI,53705
